Category: All categories

Month,residential schools: (Canada)
2004-01,24
2004-02,60
2004-03,53
2004-04,39
2004-05,33
2004-06,29
2004-07,21
2004-08,25
2004-09,18
2004-10,39
2004-11,49
2004-12,35
2005-01,32
2005-02,43
2005-03,41
2005-04,30
2005-05,37
2005-06,44
2005-07,17
2005-08,20
2005-09,25
2005-10,37
2005-11,62
2005-12,23
2006-01,36
2006-02,42
2006-03,47
2006-04,34
2006-05,33
2006-06,36
2006-07,14
2006-08,14
2006-09,19
2006-10,28
2006-11,38
2006-12,29
2007-01,35
2007-02,29
2007-03,45
2007-04,40
2007-05,42
2007-06,18
2007-07,14
2007-08,18
2007-09,35
2007-10,41
2007-11,51
2007-12,34
2008-01,32
2008-02,40
2008-03,40
2008-04,50
2008-05,43
2008-06,79
2008-07,23
2008-08,14
2008-09,22
2008-10,40
2008-11,52
2008-12,30
2009-01,37
2009-02,31
2009-03,37
2009-04,44
2009-05,35
2009-06,31
2009-07,10
2009-08,12
2009-09,19
2009-10,39
2009-11,51
2009-12,34
2010-01,39
2010-02,28
2010-03,41
2010-04,43
2010-05,33
2010-06,23
2010-07,12
2010-08,8
2010-09,19
2010-10,29
2010-11,44
2010-12,25
2011-01,23
2011-02,28
2011-03,38
2011-04,40
2011-05,38
2011-06,29
2011-07,13
2011-08,11
2011-09,18
2011-10,39
2011-11,52
2011-12,32
2012-01,33
2012-02,38
2012-03,42
2012-04,37
2012-05,38
2012-06,34
2012-07,15
2012-08,11
2012-09,22
2012-10,34
2012-11,48
2012-12,29
2013-01,37
2013-02,43
2013-03,45
2013-04,47
2013-05,34
2013-06,30
2013-07,20
2013-08,11
2013-09,32
2013-10,42
2013-11,54
2013-12,33
2014-01,44
2014-02,37
2014-03,60
2014-04,53
2014-05,47
2014-06,41
2014-07,13
2014-08,8
2014-09,28
2014-10,50
2014-11,56
2014-12,38
2015-01,47
2015-02,50
2015-03,46
2015-04,57
2015-05,50
2015-06,100
2015-07,20
2015-08,15
2015-09,33
2015-10,49
2015-11,74
2015-12,59
2016-01,54
2016-02,49
2016-03,56
2016-04,76
2016-05,63
2016-06,64
2016-07,18
2016-08,10
2016-09,51
2016-10,78
2016-11,77
2016-12,54
2017-01,63
2017-02,60
2017-03,82
2017-04,86
2017-05,75
2017-06,71
2017-07,24
2017-08,23
2017-09,77
2017-10,86
2017-11,92
2017-12,56
2018-01,74
2018-02,63
2018-03,71
2018-04,80
2018-05,76
2018-06,69
2018-07,23
2018-08,42
2018-09,92
2018-10,94
2018-11,81
2018-12,54
2019-01,75
2019-02,57
2019-03,67
2019-04,64
2019-05,69
2019-06,84
