Category: All categories

Week,residential schools: (Saskatchewan),residential schools: (Alberta),residential schools: (Manitoba)
2015-03-01,84,18,24
2015-03-08,58,17,33
2015-03-15,39,16,36
2015-03-22,43,20,11
2015-03-29,48,15,16
2015-04-05,24,15,46
2015-04-12,54,29,33
2015-04-19,15,18,49
2015-04-26,28,12,37
2015-05-03,32,14,23
2015-05-10,37,24,37
2015-05-17,39,11,28
2015-05-24,41,15,44
2015-05-31,73,55,94
2015-06-07,41,26,40
2015-06-14,63,14,44
2015-06-21,20,3,14
2015-06-28,17,6,33
2015-07-05,12,7,32
2015-07-12,12,5,0
2015-07-19,19,8,11
2015-07-26,12,7,43
2015-08-02,12,6,0
2015-08-09,12,6,10
2015-08-16,17,10,15
2015-08-23,12,8,10
2015-08-30,15,8,13
2015-09-06,11,6,10
2015-09-13,29,8,26
2015-09-20,40,10,29
2015-09-27,39,18,41
2015-10-04,40,14,12
2015-10-11,36,14,28
2015-10-18,27,20,18
2015-10-25,49,20,18
2015-11-01,45,31,45
2015-11-08,36,25,14
2015-11-15,56,25,21
2015-11-22,38,29,36
2015-11-29,76,31,39
2015-12-06,73,16,39
2015-12-13,55,32,44
2015-12-20,31,9,11
2015-12-27,18,3,0
2016-01-03,29,21,25
2016-01-10,35,16,21
2016-01-17,54,15,25
2016-01-24,26,14,37
2016-01-31,29,18,9
2016-02-07,33,17,34
2016-02-14,23,18,37
2016-02-21,40,16,24
2016-02-28,39,14,36
2016-03-06,32,23,33
2016-03-13,53,16,46
2016-03-20,53,10,37
2016-03-27,33,10,23
2016-04-03,28,31,32
2016-04-10,45,25,15
2016-04-17,32,18,27
2016-04-24,11,28,28
2016-05-01,34,13,29
2016-05-08,29,19,21
2016-05-15,35,18,36
2016-05-22,38,13,39
2016-05-29,30,17,37
2016-06-05,45,25,47
2016-06-12,47,10,40
2016-06-19,33,7,19
2016-06-26,24,3,15
2016-07-03,12,3,15
2016-07-10,12,4,0
2016-07-17,37,6,11
2016-07-24,0,6,11
2016-07-31,12,6,0
2016-08-07,12,0,21
2016-08-14,13,4,22
2016-08-21,28,5,21
2016-08-28,16,5,10
2016-09-04,19,9,20
2016-09-11,26,10,10
2016-09-18,40,12,19
2016-09-25,78,29,77
2016-10-02,46,20,42
2016-10-09,18,21,14
2016-10-16,43,20,49
2016-10-23,43,27,52
2016-10-30,48,29,28
2016-11-06,54,20,27
2016-11-13,46,22,18
2016-11-20,38,24,30
2016-11-27,65,19,40
2016-12-04,51,18,37
2016-12-11,28,24,36
2016-12-18,11,9,29
2016-12-25,0,11,13
2017-01-01,15,5,18
2017-01-08,30,17,35
2017-01-15,37,22,29
2017-01-22,27,15,49
2017-01-29,13,21,29
2017-02-05,43,15,17
