Category: All categories

Month,residential schools: (Saskatchewan),residential schools: (Manitoba),residential schools: (Alberta)
2004-01,49,13,14
2004-02,52,13,13
2004-03,61,25,8
2004-04,26,20,6
2004-05,0,11,5
2004-06,0,24,0
2004-07,0,0,6
2004-08,0,12,0
2004-09,0,11,5
2004-10,18,44,0
2004-11,100,27,5
2004-12,34,10,6
2005-01,22,17,5
2005-02,48,19,8
2005-03,39,8,0
2005-04,31,9,6
2005-05,14,29,5
2005-06,43,13,3
2005-07,0,10,4
2005-08,0,9,3
2005-09,32,8,5
2005-10,23,11,4
2005-11,40,18,5
2005-12,17,11,7
2006-01,15,6,2
2006-02,31,7,4
2006-03,30,17,5
2006-04,30,6,0
2006-05,19,15,3
2006-06,29,16,2
2006-07,11,7,2
2006-08,10,6,0
2006-09,13,9,2
2006-10,12,10,5
2006-11,26,7,7
2006-12,23,8,4
2007-01,13,30,6
2007-02,18,9,3
2007-03,28,29,5
2007-04,21,11,4
2007-05,10,16,5
2007-06,23,10,4
2007-07,10,0,1
2007-08,13,4,4
2007-09,23,11,3
2007-10,23,17,7
2007-11,23,23,7
2007-12,0,16,4
2008-01,12,23,5
2008-02,5,12,6
2008-03,12,15,4
2008-04,19,10,11
2008-05,18,18,8
2008-06,19,17,7
2008-07,0,8,2
2008-08,5,4,1
2008-09,5,17,5
2008-10,25,3,5
2008-11,16,13,9
2008-12,12,8,7
2009-01,21,9,6
2009-02,9,10,6
2009-03,12,15,7
2009-04,4,16,9
2009-05,13,15,9
2009-06,11,13,6
2009-07,5,3,1
2009-08,9,8,2
2009-09,17,6,2
2009-10,15,18,5
2009-11,19,15,9
2009-12,15,7,7
2010-01,12,12,8
2010-02,9,13,5
2010-03,15,22,5
2010-04,20,11,12
2010-05,19,15,6
2010-06,11,19,3
2010-07,8,5,3
2010-08,4,8,2
2010-09,14,10,4
2010-10,8,7,5
2010-11,19,23,9
2010-12,18,10,7
2011-01,14,9,2
2011-02,12,10,6
2011-03,12,15,6
2011-04,16,11,8
2011-05,15,12,5
2011-06,13,8,3
2011-07,6,6,1
2011-08,5,2,2
2011-09,11,6,1
2011-10,8,12,4
2011-11,27,15,10
2011-12,14,13,5
2012-01,20,16,4
2012-02,10,16,4
2012-03,15,18,5
2012-04,14,11,9
2012-05,21,13,7
2012-06,16,10,3
2012-07,8,4,2
2012-08,7,4,1
2012-09,12,9,3
2012-10,17,11,6
2012-11,21,16,6
2012-12,12,8,3
2013-01,14,11,5
2013-02,10,12,6
2013-03,14,13,8
2013-04,16,13,7
2013-05,13,11,5
2013-06,18,7,2
2013-07,4,8,3
2013-08,5,2,1
2013-09,7,4,3
2013-10,11,11,6
2013-11,20,12,11
2013-12,19,10,5
2014-01,13,15,5
2014-02,10,9,4
2014-03,17,15,12
2014-04,21,9,10
2014-05,15,8,5
2014-06,19,15,3
2014-07,3,2,1
2014-08,2,4,1
2014-09,7,4,4
2014-10,22,14,5
2014-11,23,12,10
2014-12,12,10,6
2015-01,16,11,5
2015-02,13,12,7
2015-03,27,12,8
