Category: All categories

Week,residential schools: (Canada)
2015-03-01,21
2015-03-08,22
2015-03-15,20
2015-03-22,19
2015-03-29,17
2015-04-05,19
2015-04-12,27
2015-04-19,23
2015-04-26,20
2015-05-03,24
2015-05-10,22
2015-05-17,17
2015-05-24,26
2015-05-31,100
2015-06-07,39
2015-06-14,25
2015-06-21,15
2015-06-28,9
2015-07-05,7
2015-07-12,8
2015-07-19,8
2015-07-26,7
2015-08-02,7
2015-08-09,6
2015-08-16,4
2015-08-23,5
2015-08-30,9
2015-09-06,10
2015-09-13,11
2015-09-20,18
2015-09-27,24
2015-10-04,24
2015-10-11,21
2015-10-18,22
2015-10-25,22
2015-11-01,32
2015-11-08,24
2015-11-15,33
2015-11-22,37
2015-11-29,31
2015-12-06,31
2015-12-13,47
2015-12-20,7
2015-12-27,6
2016-01-03,19
2016-01-10,34
2016-01-17,30
2016-01-24,27
2016-01-31,22
2016-02-07,23
2016-02-14,18
2016-02-21,28
2016-02-28,28
2016-03-06,31
2016-03-13,20
2016-03-20,24
2016-03-27,19
2016-04-03,30
2016-04-10,35
2016-04-17,28
2016-04-24,30
2016-05-01,25
2016-05-08,28
2016-05-15,23
2016-05-22,29
2016-05-29,37
2016-06-05,31
2016-06-12,29
2016-06-19,26
2016-06-26,10
2016-07-03,8
2016-07-10,7
2016-07-17,5
2016-07-24,8
2016-07-31,6
2016-08-07,4
2016-08-14,4
2016-08-21,7
2016-08-28,7
2016-09-04,8
2016-09-11,16
2016-09-18,20
2016-09-25,54
2016-10-02,34
2016-10-09,26
2016-10-16,35
2016-10-23,44
2016-10-30,35
2016-11-06,31
2016-11-13,36
2016-11-20,33
2016-11-27,43
2016-12-04,34
2016-12-11,30
2016-12-18,19
2016-12-25,6
2017-01-01,13
2017-01-08,34
2017-01-15,41
2017-01-22,33
2017-01-29,30
2017-02-05,32
2017-02-12,35
2017-02-19,24
2017-02-26,28
2017-03-05,44
2017-03-12,29
2017-03-19,38
2017-03-26,44
2017-04-02,48
2017-04-09,33
2017-04-16,22
2017-04-23,29
2017-04-30,26
2017-05-07,28
2017-05-14,27
2017-05-21,30
2017-05-28,45
2017-06-04,33
2017-06-11,38
2017-06-18,27
2017-06-25,14
2017-07-02,18
2017-07-09,11
2017-07-16,10
2017-07-23,10
2017-07-30,9
2017-08-06,9
2017-08-13,11
2017-08-20,21
2017-08-27,8
2017-09-03,9
2017-09-10,18
2017-09-17,31
2017-09-24,67
2017-10-01,37
2017-10-08,27
2017-10-15,32
2017-10-22,41
2017-10-29,36
2017-11-05,37
2017-11-12,38
2017-11-19,48
2017-11-26,42
2017-12-03,36
2017-12-10,30
2017-12-17,29
2017-12-24,4
2017-12-31,13
2018-01-07,36
2018-01-14,41
2018-01-21,33
2018-01-28,34
2018-02-04,25
2018-02-11,30
2018-02-18,20
2018-02-25,30
2018-03-04,32
2018-03-11,22
2018-03-18,32
2018-03-25,42
2018-04-01,24
2018-04-08,34
2018-04-15,42
2018-04-22,30
2018-04-29,36
2018-05-06,32
2018-05-13,34
2018-05-20,30
2018-05-27,41
2018-06-03,42
2018-06-10,38
2018-06-17,30
2018-06-24,10
2018-07-01,9
2018-07-08,9
2018-07-15,11
2018-07-22,10
2018-07-29,8
2018-08-05,11
2018-08-12,38
2018-08-19,12
2018-08-26,12
2018-09-02,16
2018-09-09,20
2018-09-16,38
2018-09-23,83
2018-09-30,59
2018-10-07,38
2018-10-14,36
2018-10-21,32
2018-10-28,39
2018-11-04,38
2018-11-11,40
2018-11-18,36
2018-11-25,37
2018-12-02,32
2018-12-09,29
2018-12-16,24
2018-12-23,5
2018-12-30,9
2019-01-06,30
2019-01-13,45
2019-01-20,37
2019-01-27,30
2019-02-03,28
2019-02-10,26
2019-02-17,21
2019-02-24,27
2019-03-03,30
2019-03-10,23
2019-03-17,28
2019-03-24,35
2019-03-31,30
2019-04-07,30
2019-04-14,25
2019-04-21,25
2019-04-28,24
2019-05-05,28
2019-05-12,25
2019-05-19,28
2019-05-26,28
2019-06-02,38
2019-06-09,35
2019-06-16,12
